DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,FRP,Latitude,Longitude
2025/11/07 18:23:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,17,0.0,1.0,11.9,-3.68554,-48.83672
2025/11/09 18:02:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,17,0.0,1.0,13.1,-3.51919,-48.32024
2025/11/09 18:02:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,11,0.0,0.95,10.5,-3.09095,-47.01822
2025/11/11 17:41:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,5,0.0,0.81,24.5,-2.6809,-46.96357
2025/11/12 18:19:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,22,0.0,0.97,17.8,-3.3452,-48.39401
2025/11/12 18:19:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,22,0.0,0.95,416.7,-3.37458,-48.4081
2025/11/12 18:19:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,22,0.0,0.98,12.2,-3.34252,-48.3759
2025/11/12 18:19:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,22,0.0,0.94,124.4,-3.35411,-48.3927
2025/11/12 18:19:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,22,0.0,0.99,65.9,-3.34386,-48.38497
2025/11/14 18:00:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,3,0.0,1.0,8.7,-2.88647,-47.77687
2025/11/14 18:00:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,2,0.0,0.69,28.8,-2.73426,-47.14509
2025/11/14 18:00:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,2,0.0,0.86,13.6,-2.65106,-46.99778
2025/11/17 18:15:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,10,0.0,1.0,24.7,-3.03583,-47.83886
2025/11/17 18:15:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,17,0.05,0.97,9.7,-3.06022,-46.99862
2025/11/17 18:17:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,4,0.0,1.0,11.9,-2.63039,-46.97101
2025/11/17 18:17:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,3,0.0,1.0,23.9,-2.61999,-46.96304
2025/11/17 18:17:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,3,0.0,1.0,14.4,-2.62902,-46.96172
2025/11/17 18:17:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,3,0.0,1.0,19.4,-2.62136,-46.97232
2025/11/21 17:34:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,5,11.68,0.06,145.7,-2.62802,-46.92351
2025/11/21 17:34:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,4,11.44,0.03,183.5,-2.61953,-46.92001
2025/11/22 18:13:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,0,0.3,0.91,41.5,-3.01352,-46.91205
2025/11/22 18:13:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,2,11.48,0.05,5.9,-2.52867,-46.996
2025/11/22 18:13:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,0,2.74,0.08,6.8,-3.43089,-46.97095
2025/11/22 18:13:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,0,0.0,0.54,6.8,-3.02413,-47.10661
2025/11/22 18:13:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,1,0.0,0.04,8.6,-3.6465,-47.95425
2025/11/24 17:49:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,2,0.22,0.89,38.9,-2.8328,-46.79765
2025/11/24 17:49:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,2,0.26,0.63,19.9,-2.83058,-46.7823
2025/11/24 17:49:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,2,0.0,0.97,24.6,-2.64463,-46.9309
2025/11/24 17:49:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,3,0.0,0.76,49.9,-3.65803,-48.06188
2025/11/24 17:49:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,2,0.0,0.26,14.2,-2.72532,-46.99958
2025/11/25 18:30:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,0,2.15,0.19,15.5,-2.62608,-47.77662
2025/11/27 18:06:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,4,0.3,1.0,8.2,-2.64423,-46.9618
2025/11/27 18:06:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,2,0.0,0.32,43.2,-2.66974,-47.89722
2025/11/27 18:06:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,1,0.3,0.9,8.8,-2.70893,-46.83733
2025/11/27 18:06:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,0,4.62,1.0,48.1,-2.80392,-46.78962
2025/11/27 18:06:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,1,0.25,1.0,18.3,-2.68443,-46.86475
2025/11/27 18:06:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,0,8.96,0.6,8.8,-2.84556,-46.76531
2025/11/27 18:06:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,0,0.19,1.0,33.1,-2.68312,-46.85585
2025/11/27 18:06:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,4,0.39,0.39,399.0,-2.65441,-46.96946
2025/11/27 18:06:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,4,0.31,0.97,13.1,-2.64553,-46.97076
2025/11/27 18:06:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,4,0.38,0.96,312.0,-2.65311,-46.96049
2025/11/27 18:06:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,3,1.93,0.27,64.4,-2.7518,-47.13368
2025/11/27 18:06:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,3,1.81,0.27,19.7,-2.75311,-47.14276
2025/11/27 18:06:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,2,0.0,0.42,7.1,-2.66832,-47.8876
2025/11/27 18:06:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,2,17.62,0.01,13.1,-3.14052,-46.7677
2025/11/30 18:23:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,4,0.87,0.98,16.5,-2.43073,-46.89046
